Raiz_Planta,Tipo_Vocabulario,Folios_Origen_Botanica,Apariciones_en_Recetas,Folios_Destino_Recetas,Etiquetas_Dominantes_en_Recetas
D1A1Q1A1C1A3,Exclusiva (Nombre Propio),f19r,1,f89v (x1),C1:1
A2L1A1,Exclusiva (Nombre Propio),f19r,4,f89r (x1) | f90r (x1) | f104r (x1) | f104v (x1),C1:2 | B2:1 | G1:1
A2Q1K1A1,Comun (Generica),f19r | f56v,1,f89v (x1),B2:1
A1C2A1U2A1,Exclusiva (Nombre Propio),f19r,0,NINGUNO,N/A
B1Aa,Comun (Generica),f19v | f51r,6,f89r (x1) | f90v (x1) | f99r (x1) | f102v (x1) | f103v (x1) | f116r (x1),G1:2 | C1:2 | B2:1
P2A3F2C2A3,Exclusiva (Nombre Propio),f20v,0,NINGUNO,N/A
L1A1J1A1,Exclusiva (Nombre Propio),f21r,0,NINGUNO,N/A
Q1J1A1,Comun (Generica),f21r | f38v,14,f87r (x2) | f108r (x2) | f108v (x2) | f87v (x1) | f88r (x1) | f89v (x1) | f93r (x1) | f102v (x1) | f112r (x1) | f114v (x1) | f115r (x1),B2:9 | C1:4 | C2:1
P1A2C2A3G1A1,Exclusiva (Nombre Propio),f22v,0,NINGUNO,N/A
A1P2K1A3,Exclusiva (Nombre Propio),f22v,0,NINGUNO,N/A
P2L1A1,Exclusiva (Nombre Propio),f22v,0,NINGUNO,N/A
L1A2Q2K1A1,Exclusiva (Nombre Propio),f22v,0,NINGUNO,N/A
A1Q1L1A1,Exclusiva (Nombre Propio),f22v,0,NINGUNO,N/A
A2Q1A1,Comun (Generica),f23r | f56v,1,f99r (x1),B2:1
A1B2K1A3,Exclusiva (Nombre Propio),f23r,4,f106v (x1) | f108v (x1) | f111r (x1) | f112r (x1),B3:1 | C1:1 | B2:1
D1A1Q2KbQ2A1,Exclusiva (Nombre Propio),f23v,0,NINGUNO,N/A
A3F2A1,Exclusiva (Nombre Propio),f23v,0,NINGUNO,N/A
A2U2A3,Exclusiva (Nombre Propio),f24r,0,NINGUNO,N/A
D1JcQ1A3,Exclusiva (Nombre Propio),f24r,0,NINGUNO,N/A
K1Q2A3,Exclusiva (Nombre Propio),f24r,11,f95v (x1) | f103v (x1) | f106v (x1) | f107r (x1) | f108r (x1) | f111r (x1) | f111v (x1) | f112v (x1) | f113r (x1) | f115r (x1) | f116r (x1),B2:4 | F1:3 | C1:2
D1JcAa,Exclusiva (Nombre Propio),f24r,0,NINGUNO,N/A
T2A3,Exclusiva (Nombre Propio),f24r,0,NINGUNO,N/A
D1A1,Comun (Generica),f24r | f29r | f30r | f36r | f45r,58,f116r (x9) | f115r (x5) | f108v (x4) | f112r (x4) | f103v (x3) | f111v (x3) | f113v (x3) | f115v (x3) | f89v (x2) | f101v (x2) | f103r (x2) | f104r (x2) | f104v (x2) | f107r (x2) | f111r (x2) | f112v (x2) | f87v (x1) | f89r (x1) | f94r (x1) | f106r (x1) | f106v (x1) | f107v (x1) | f113r (x1) | f114r (x1),B2:29 | C1:5 | C2:4
Q2K1A1B1A3,Exclusiva (Nombre Propio),f24v,1,f93v (x1),G1:1
A1J1Aa,Exclusiva (Nombre Propio),f24v,0,NINGUNO,N/A
A1Q1A1J1A1,Exclusiva (Nombre Propio),f24v,0,NINGUNO,N/A
P1K1J1B1A3,Comun (Generica),f26v | f34v,10,f105v (x2) | f108v (x2) | f94r (x1) | f94v (x1) | f103r (x1) | f104r (x1) | f111v (x1) | f113r (x1),G1:3 | B2:3 | C1:2
P1K1B1A3,Comun (Generica),f26v | f39r,8,f104r (x2) | f114v (x2) | f105v (x1) | f111r (x1) | f112v (x1) | f115v (x1),C1:2 | F3:2 | Bd:1
A1P1A3,Exclusiva (Nombre Propio),f26v,19,f104r (x2) | f107r (x2) | f113v (x2) | f114r (x2) | f94r (x1) | f99v (x1) | f102v (x1) | f103v (x1) | f105r (x1) | f105v (x1) | f107v (x1) | f108r (x1) | f112r (x1) | f112v (x1) | f116r (x1),G1:4 | F3:4 | B2:4
Q1C2A1,Exclusiva (Nombre Propio),f27r,0,NINGUNO,N/A
K1Q1A3,Exclusiva (Nombre Propio),f27v,29,f95r (x3) | f107v (x3) | f111v (x3) | f107r (x2) | f111r (x2) | f113r (x2) | f115r (x2) | f115v (x2) | f89r (x1) | f89v (x1) | f103r (x1) | f105v (x1) | f106r (x1) | f106v (x1) | f108r (x1) | f112v (x1) | f113v (x1) | f116r (x1),G1:7 | F1:7 | B2:7
P1K1A1B1A3,Exclusiva (Nombre Propio),f28r,5,f102v (x1) | f106v (x1) | f112v (x1) | f115r (x1) | f115v (x1),G1:2 | F1:2 | C1:1
L1A1Q2K1A1,Exclusiva (Nombre Propio),f29v,0,NINGUNO,N/A
K1A1Q1A1,Exclusiva (Nombre Propio),f29v,4,f88r (x1) | f99v (x1) | f104r (x1) | f113v (x1),B2:2 | C1:2
K1Q2J1A1,Exclusiva (Nombre Propio),f29v,0,NINGUNO,N/A
D1J1Q1J1A1K1A1,Exclusiva (Nombre Propio),f29v,0,NINGUNO,N/A
D1A1K1A3,Exclusiva (Nombre Propio),f30r,1,f112v (x1),G1:1
