Folio,Rank,Recipe,F1,N_Overlap,Overlap_Ingredients
f106r,3,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),60.0,6,Cardamomum|Casia|Cinnamomum|Crocus|Piper longum|Piper nigrum
f106r,4,Paulinum,57.1,6,Casia|Cinnamomum|Crocus|Myrrha|Piper longum|Piper nigrum
f106r,5,Theodoricon Euporistum,56.0,7,Cardamomum|Casia|Cinnamomum|Crocus|Myrrha|Piper longum|Piper nigrum
f106v,1,Philonium Persicum,50.0,6,Cardamomum|Casia|Crocus|Myrrha|Piper longum|Styrax
f106v,2,Trifera Saracenica,50.0,5,Cardamomum|Casia|Crocus|Myrrha|Piper longum
f106v,3,Electuarium Justinum,50.0,5,Cardamomum|Casia|Crocus|Myrrha|Piper longum
f106v,4,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),44.4,4,Cardamomum|Casia|Crocus|Piper longum
f106v,5,Antidotum Hadriani,44.4,4,Casia|Crocus|Myrrha|Piper longum
f107r,1,Trifera Saracenica,52.6,5,Cardamomum|Cinnamomum|Crocus|Myrrha|Piper longum
f107r,2,Electuarium Justinum,52.6,5,Cardamomum|Cinnamomum|Crocus|Myrrha|Piper longum
f107r,3,Philonium Romanum,50.0,4,Cinnamomum|Crocus|Myrrha|Piper longum
f107r,4,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),47.1,4,Cardamomum|Cinnamomum|Crocus|Piper longum
f107r,5,Antidotum Hadriani,47.1,4,Cinnamomum|Crocus|Myrrha|Piper longum
f107v,1,Trifera Saracenica,63.6,7,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f107v,2,Electuarium Justinum,63.6,7,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f107v,3,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),60.0,6,Cardamomum|Casia|Crocus|Mel despumatum|Piper longum|Piper nigrum
f107v,4,Paulinum,57.1,6,Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f107v,5,Theodoricon Euporistum,56.0,7,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f108r,1,Electuarium Justinum,63.6,7,Amomum|Cardamomum|Casia|Crocus|Myrrha|Piper longum|Piper nigrum
f108r,2,Theodoricon Euporistum,56.0,7,Amomum|Cardamomum|Casia|Crocus|Myrrha|Piper longum|Piper nigrum
f108r,3,Trifera Saracenica,54.5,6,Cardamomum|Casia|Crocus|Myrrha|Piper longum|Piper nigrum
f108r,4,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),50.0,5,Cardamomum|Casia|Crocus|Piper longum|Piper nigrum
f108r,5,Paulinum,47.6,5,Casia|Crocus|Myrrha|Piper longum|Piper nigrum
f108v,1,Electuarium Justinum,66.7,7,Amomum|Cardamomum|Casia|Cinnamomum|Crocus|Myrrha|Piper longum
f108v,2,Theodoricon Euporistum,58.3,7,Amomum|Cardamomum|Casia|Cinnamomum|Crocus|Myrrha|Piper longum
f108v,3,Trifera Saracenica,57.1,6,Cardamomum|Casia|Cinnamomum|Crocus|Myrrha|Piper longum
f108v,4,Electuarium Diacostum,55.6,5,Amomum|Cardamomum|Casia|Cinnamomum|Piper longum
f108v,5,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),52.6,5,Cardamomum|Casia|Cinnamomum|Crocus|Piper longum
f111r,1,Electuarium Justinum,54.5,6,Amomum|Cardamomum|Casia|Crocus|Myrrha|Piper longum
f111r,2,Theodoricon Euporistum,48.0,6,Amomum|Cardamomum|Casia|Crocus|Myrrha|Piper longum
f111r,3,Trifera Saracenica,45.5,5,Cardamomum|Casia|Crocus|Myrrha|Piper longum
f111r,4,Trifera Magna,44.4,8,Amomum|Bdellium|Cardamomum|Casia|Crocus|Myrrha|Opopanax|Piper longum
f111r,5,Electuarium Diacostum,42.1,4,Amomum|Cardamomum|Casia|Piper longum
f111v,1,Electuarium Justinum,63.6,7,Amomum|Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum
f111v,2,Theodoricon Euporistum,56.0,7,Amomum|Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum
f111v,3,Trifera Saracenica,54.5,6,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum
f111v,4,Electuarium Diacostum,52.6,5,Amomum|Cardamomum|Casia|Mel despumatum|Piper longum
f111v,5,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),50.0,5,Cardamomum|Casia|Crocus|Mel despumatum|Piper longum
