Stem,Type,N_Matched_Folios,Matched_Folios,Matched_Recipes
P1K1J1B1A3,GEN,3,f105v | f94r | f94v,Aurea Alexandrina | Diascordium | Trifera Magna
K1J1Q2A3,GEN,3,f114v | f116r | f94v,Diascordium | Trifera Magna | Trifera Magna
A1Q1K1A1,GEN,3,f101r | f112r | f99r,Trifera Magna | Trifera Magna | Trifera Magna
B2A3,GEN,3,f105r | f105v | f116r,Trifera Magna | Trifera Magna | Trifera Magna
Q1J1A1B1A3,EXCL,2,f87r | f94r,Confectio Hamech | Aurea Alexandrina
B1K1A1,GEN,2,f87r | f93v,Confectio Hamech | Diascordium
Q1K1A1,GEN,2,f87v | f90r,Unguentum Apostolorum | Aurea Alexandrina
K1A1Q1A1,EXCL,2,f88r | f99v,Trifera Magna | Aurea Alexandrina
K1A1B2B1A3,GEN,2,f100r | f101r,Diamargariton | Trifera Magna
Q2A1Q1A3,EXCL,2,f103v | f116r,Trifera Magna | Trifera Magna
L1A3,GEN,2,f103v | f116r,Trifera Magna | Trifera Magna
A2L1J1A1,EXCL,2,f105v | f88v,Philonium Persicum | Trifera Magna
Q2A1B1A3,EXCL,2,f94r | f94v,Aurea Alexandrina | Diascordium
A1Q1K1A3,GEN,2,f112r | f94v,Diascordium | Trifera Magna
A2B1A3,EXCL,2,f101r | f102v,Trifera Magna | Trifera Magna
P1K1B1A3,GEN,2,f105v | f114v,Trifera Magna | Trifera Magna
AaQ1A3,EXCL,2,f112r | f116r,Trifera Magna | Trifera Magna
