Folio,Recipe,F1,N_TP
f102v,Requies Magna (Requies Nicolai),15.4,1
f102v,Diacodion (Jarabe de Adormidera),0,0
f102v,Dialtea (Ungueento de Altea),0,0
f102v,Philonium Persicum,73.7,7
f102v,Oximel Compositum,50.0,3
f102v,Theriac Diatessaron,36.4,2
f102v,Theodoricon Euporistum,70.0,7
f102v,Diasatyrion,58.8,5
f102v,Diarodon Abbatis,35.3,3
f102v,Rosata Novella,14.3,1
f102v,Letitia Galeni,25.0,2
f102v,Trifera Saracenica,77.8,7
f102v,Paulinum,66.7,6
f102v,Electuarium Justinum,73.7,7
f102v,Electuarium de Baccis Lauri,53.3,4
f102v,Syrupus de Fumaria,0,0
f102v,Confectio Anacardia,53.3,4
f102v,Electuarium Diacostum,66.7,5
f102v,Unguentum Marciaton,0,0
f102v,Suffuf al-Tib (Polvo aromatico de Avicena),40.0,3
f102v,Itrifal Ustukhudus (Electuario de Espliego),46.2,3
f102v,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),36.4,2
f102v,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),75.0,6
f102v,Unguentum Abulcasis (de vulneribus),22.2,1
f102v,Theriac Abulcasis (contra venenos),63.2,6
f102v,Antidotum Hadriani,70.6,6
f102v,Electuarium Ducis,46.2,3
f102v,Benedicta Laxativa,33.3,2
f102v,Diatragacanthi,0,0
f102v,Dianucum (Electuario de Nueces),30.8,2
f102v,Electuarium Diaspermaton,42.9,3
f102v,Philonium Romanum,66.7,5
f102v,Theriac Diatessaron Magna,30.8,2
f103r,Theriac Magna (Triaca de Andromachus),54.5,6
f103r,Mithridatium,60.0,6
f103r,Diascordium,37.5,3
f103r,Pillulae Cochiae,0,0
f103r,Pillulae Aureae,20.0,1
f103r,Unguentum Apostolorum,18.2,1
f103r,Electuarium de Succo Rosarum,20.0,1
f103r,Aurea Alexandrina,55.6,5
f103r,Confectio Hamech,16.7,1
f103r,Hiera Picra (Hiera de Galeno),18.2,1
f103r,Trifera Magna,58.3,7
f103r,Diamargariton (Electuario de Perlas),26.7,2
f103r,Diaciminum (Electuario de Comino),46.2,3
f103r,Unguentum Basilicon,0,0
f103r,Unguentum Populeon,0,0
f103r,Pillulae de Hiera cum Agarico,20.0,1
f103r,Pillulae Fetidae (Pildoras Fetidas),33.3,2
f103r,Requies Magna (Requies Nicolai),16.7,1
f103r,Diacodion (Jarabe de Adormidera),0,0
f103r,Dialtea (Ungueento de Altea),0,0
f103r,Philonium Persicum,66.7,6
f103r,Oximel Compositum,36.4,2
f103r,Theriac Diatessaron,20.0,1
f103r,Theodoricon Euporistum,73.7,7
f103r,Diasatyrion,50.0,4
f103r,Diarodon Abbatis,25.0,2
f103r,Rosata Novella,15.4,1
f103r,Letitia Galeni,26.7,2
f103r,Trifera Saracenica,70.6,6
f103r,Paulinum,58.8,5
f103r,Electuarium Justinum,66.7,6
f103r,Electuarium de Baccis Lauri,42.9,3
f103r,Syrupus de Fumaria,0,0
f103r,Confectio Anacardia,57.1,4
f103r,Electuarium Diacostum,57.1,4
f103r,Unguentum Marciaton,0,0
f103r,Suffuf al-Tib (Polvo aromatico de Avicena),28.6,2
f103r,Itrifal Ustukhudus (Electuario de Espliego),33.3,2
f103r,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),20.0,1
f103r,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),53.3,4
f103r,Unguentum Abulcasis (de vulneribus),25.0,1
f103r,Theriac Abulcasis (contra venenos),55.6,5
f103r,Antidotum Hadriani,62.5,5
f103r,Electuarium Ducis,33.3,2
f103r,Benedicta Laxativa,36.4,2
f103r,Diatragacanthi,0,0
f103r,Dianucum (Electuario de Nueces),33.3,2
f103r,Electuarium Diaspermaton,46.2,3
f103r,Philonium Romanum,57.1,4
f103r,Theriac Diatessaron Magna,33.3,2
f103v,Theriac Magna (Triaca de Andromachus),66.7,8
f103v,Mithridatium,72.7,8
f103v,Diascordium,44.4,4
f103v,Pillulae Cochiae,0,0
f103v,Pillulae Aureae,33.3,2
f103v,Unguentum Apostolorum,15.4,1
f103v,Electuarium de Succo Rosarum,33.3,2
f103v,Aurea Alexandrina,70.0,7
f103v,Confectio Hamech,28.6,2
f103v,Hiera Picra (Hiera de Galeno),30.8,2
f103v,Trifera Magna,69.2,9
f103v,Diamargariton (Electuario de Perlas),35.3,3
f103v,Diaciminum (Electuario de Comino),53.3,4
f103v,Unguentum Basilicon,0,0
f103v,Unguentum Populeon,0,0
f103v,Pillulae de Hiera cum Agarico,33.3,2
f103v,Pillulae Fetidae (Pildoras Fetidas),28.6,2
f103v,Requies Magna (Requies Nicolai),28.6,2
f103v,Diacodion (Jarabe de Adormidera),18.2,1
f103v,Dialtea (Ungueento de Altea),0,0
f103v,Philonium Persicum,70.0,7
f103v,Oximel Compositum,46.2,3
f103v,Theriac Diatessaron,16.7,1
f103v,Theodoricon Euporistum,85.7,9
f103v,Diasatyrion,55.6,5
f103v,Diarodon Abbatis,33.3,3
f103v,Rosata Novella,26.7,2
f103v,Letitia Galeni,35.3,3
f103v,Trifera Saracenica,73.7,7
f103v,Paulinum,73.7,7
f103v,Electuarium Justinum,80.0,8
f103v,Electuarium de Baccis Lauri,62.5,5
f103v,Syrupus de Fumaria,18.2,1
f103v,Confectio Anacardia,62.5,5
f103v,Electuarium Diacostum,62.5,5
f103v,Unguentum Marciaton,0,0
f103v,Suffuf al-Tib (Polvo aromatico de Avicena),37.5,3
f103v,Itrifal Ustukhudus (Electuario de Espliego),42.9,3
f103v,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),16.7,1
f103v,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),58.8,5
f103v,Unguentum Abulcasis (de vulneribus),20.0,1
f103v,Theriac Abulcasis (contra venenos),60.0,6
f103v,Antidotum Hadriani,66.7,6
f103v,Electuarium Ducis,42.9,3
f103v,Benedicta Laxativa,46.2,3
f103v,Diatragacanthi,18.2,1
f103v,Dianucum (Electuario de Nueces),42.9,3
f103v,Electuarium Diaspermaton,66.7,5
f103v,Philonium Romanum,62.5,5
f103v,Theriac Diatessaron Magna,42.9,3
f104r,Theriac Magna (Triaca de Andromachus),72.0,9
f104r,Mithridatium,69.6,8
f104r,Diascordium,52.6,5
f104r,Pillulae Cochiae,0,0
f104r,Pillulae Aureae,15.4,1
f104r,Unguentum Apostolorum,28.6,2
f104r,Electuarium de Succo Rosarum,15.4,1
f104r,Aurea Alexandrina,66.7,7
f104r,Confectio Hamech,26.7,2
f104r,Hiera Picra (Hiera de Galeno),28.6,2
f104r,Trifera Magna,66.7,9
f104r,Diamargariton (Electuario de Perlas),22.2,2
f104r,Diaciminum (Electuario de Comino),50.0,4
f104r,Unguentum Basilicon,18.2,1
f104r,Unguentum Populeon,0,0
f104r,Pillulae de Hiera cum Agarico,15.4,1
f104r,Pillulae Fetidae (Pildoras Fetidas),40.0,3
f104r,Requies Magna (Requies Nicolai),13.3,1
f104r,Diacodion (Jarabe de Adormidera),0,0
f104r,Dialtea (Ungueento de Altea),0,0
f104r,Philonium Persicum,66.7,7
f104r,Oximel Compositum,57.1,4
f104r,Theriac Diatessaron,30.8,2
f104r,Theodoricon Euporistum,81.8,9
f104r,Diasatyrion,52.6,5
f104r,Diarodon Abbatis,21.1,2
f104r,Rosata Novella,12.5,1
f104r,Letitia Galeni,22.2,2
f104r,Trifera Saracenica,70.0,7
f104r,Paulinum,70.0,7
f104r,Electuarium Justinum,76.2,8
f104r,Electuarium de Baccis Lauri,58.8,5
f104r,Syrupus de Fumaria,0,0
f104r,Confectio Anacardia,58.8,5
f104r,Electuarium Diacostum,58.8,5
f104r,Unguentum Marciaton,0,0
f104r,Suffuf al-Tib (Polvo aromatico de Avicena),23.5,2
f104r,Itrifal Ustukhudus (Electuario de Espliego),40.0,3
f104r,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),30.8,2
f104r,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),55.6,5
f104r,Unguentum Abulcasis (de vulneribus),18.2,1
f104r,Theriac Abulcasis (contra venenos),66.7,7
f104r,Antidotum Hadriani,63.2,6
f104r,Electuarium Ducis,40.0,3
f104r,Benedicta Laxativa,28.6,2
f104r,Diatragacanthi,0,0
f104r,Dianucum (Electuario de Nueces),40.0,3
f104r,Electuarium Diaspermaton,62.5,5
f104r,Philonium Romanum,58.8,5
f104r,Theriac Diatessaron Magna,40.0,3
f104v,Theriac Magna (Triaca de Andromachus),66.7,8
f104v,Mithridatium,72.7,8
f104v,Diascordium,55.6,5
f104v,Pillulae Cochiae,0,0
f104v,Pillulae Aureae,33.3,2
f104v,Unguentum Apostolorum,30.8,2
f104v,Electuarium de Succo Rosarum,33.3,2
f104v,Aurea Alexandrina,70.0,7
f104v,Confectio Hamech,28.6,2
f104v,Hiera Picra (Hiera de Galeno),46.2,3
f104v,Trifera Magna,61.5,8
f104v,Diamargariton (Electuario de Perlas),47.1,4
f104v,Diaciminum (Electuario de Comino),40.0,3
f104v,Unguentum Basilicon,20.0,1
f104v,Unguentum Populeon,0,0
f104v,Pillulae de Hiera cum Agarico,33.3,2
f104v,Pillulae Fetidae (Pildoras Fetidas),42.9,3
f104v,Requies Magna (Requies Nicolai),28.6,2
f104v,Diacodion (Jarabe de Adormidera),18.2,1
f104v,Dialtea (Ungueento de Altea),0,0
f104v,Philonium Persicum,80.0,8
f104v,Oximel Compositum,30.8,2
f104v,Theriac Diatessaron,16.7,1
f104v,Theodoricon Euporistum,76.2,8
f104v,Diasatyrion,55.6,5
f104v,Diarodon Abbatis,44.4,4
f104v,Rosata Novella,26.7,2
f104v,Letitia Galeni,35.3,3
f104v,Trifera Saracenica,84.2,8
f104v,Paulinum,73.7,7
f104v,Electuarium Justinum,70.0,7
f104v,Electuarium de Baccis Lauri,50.0,4
f104v,Syrupus de Fumaria,18.2,1
f104v,Confectio Anacardia,62.5,5
f104v,Electuarium Diacostum,62.5,5
f104v,Unguentum Marciaton,0,0
f104v,Suffuf al-Tib (Polvo aromatico de Avicena),50.0,4
f104v,Itrifal Ustukhudus (Electuario de Espliego),42.9,3
f104v,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),16.7,1
f104v,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),70.6,6
f104v,Unguentum Abulcasis (de vulneribus),20.0,1
f104v,Theriac Abulcasis (contra venenos),70.0,7
f104v,Antidotum Hadriani,77.8,7
f104v,Electuarium Ducis,42.9,3
f104v,Benedicta Laxativa,46.2,3
f104v,Diatragacanthi,18.2,1
f104v,Dianucum (Electuario de Nueces),42.9,3
f104v,Electuarium Diaspermaton,40.0,3
f104v,Philonium Romanum,62.5,5
f104v,Theriac Diatessaron Magna,42.9,3
f105r,Theriac Magna (Triaca de Andromachus),64.0,8
f105r,Mithridatium,78.3,9
f105r,Diascordium,52.6,5
f105r,Pillulae Cochiae,18.2,1
f105r,Pillulae Aureae,30.8,2
f105r,Unguentum Apostolorum,28.6,2
f105r,Electuarium de Succo Rosarum,30.8,2
f105r,Aurea Alexandrina,76.2,8
f105r,Confectio Hamech,40.0,3
f105r,Hiera Picra (Hiera de Galeno),57.1,4
f105r,Trifera Magna,74.1,10
f105r,Diamargariton (Electuario de Perlas),44.4,4
f105r,Diaciminum (Electuario de Comino),50.0,4
f105r,Unguentum Basilicon,0,0
f105r,Unguentum Populeon,0,0
f105r,Pillulae de Hiera cum Agarico,30.8,2
f105r,Pillulae Fetidae (Pildoras Fetidas),40.0,3
f105r,Requies Magna (Requies Nicolai),26.7,2
f105r,Diacodion (Jarabe de Adormidera),16.7,1
f105r,Dialtea (Ungueento de Altea),0,0
f105r,Philonium Persicum,85.7,9
f105r,Oximel Compositum,42.9,3
f105r,Theriac Diatessaron,30.8,2
f105r,Theodoricon Euporistum,81.8,9
f105r,Diasatyrion,63.2,6
f105r,Diarodon Abbatis,42.1,4
f105r,Rosata Novella,25.0,2
f105r,Letitia Galeni,33.3,3
f105r,Trifera Saracenica,90.0,9
f105r,Paulinum,80.0,8
f105r,Electuarium Justinum,76.2,8
f105r,Electuarium de Baccis Lauri,58.8,5
f105r,Syrupus de Fumaria,16.7,1
f105r,Confectio Anacardia,70.6,6
f105r,Electuarium Diacostum,70.6,6
f105r,Unguentum Marciaton,0,0
f105r,Suffuf al-Tib (Polvo aromatico de Avicena),47.1,4
f105r,Itrifal Ustukhudus (Electuario de Espliego),53.3,4
f105r,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),30.8,2
f105r,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),77.8,7
f105r,Unguentum Abulcasis (de vulneribus),18.2,1
f105r,Theriac Abulcasis (contra venenos),66.7,7
f105r,Antidotum Hadriani,84.2,8
f105r,Electuarium Ducis,53.3,4
f105r,Benedicta Laxativa,42.9,3
f105r,Diatragacanthi,16.7,1
f105r,Dianucum (Electuario de Nueces),53.3,4
f105r,Electuarium Diaspermaton,50.0,4
f105r,Philonium Romanum,70.6,6
f105r,Theriac Diatessaron Magna,53.3,4
f105v,Theriac Magna (Triaca de Andromachus),72.0,9
f105v,Mithridatium,78.3,9
f105v,Diascordium,31.6,3
f105v,Pillulae Cochiae,0,0
f105v,Pillulae Aureae,15.4,1
f105v,Unguentum Apostolorum,28.6,2
f105v,Electuarium de Succo Rosarum,15.4,1
f105v,Aurea Alexandrina,66.7,7
f105v,Confectio Hamech,13.3,1
f105v,Hiera Picra (Hiera de Galeno),14.3,1
f105v,Trifera Magna,74.1,10
f105v,Diamargariton (Electuario de Perlas),22.2,2
f105v,Diaciminum (Electuario de Comino),50.0,4
f105v,Unguentum Basilicon,0,0
f105v,Unguentum Populeon,0,0
f105v,Pillulae de Hiera cum Agarico,15.4,1
f105v,Pillulae Fetidae (Pildoras Fetidas),40.0,3
f105v,Requies Magna (Requies Nicolai),13.3,1
f105v,Diacodion (Jarabe de Adormidera),0,0
f105v,Dialtea (Ungueento de Altea),0,0
f105v,Philonium Persicum,66.7,7
f105v,Oximel Compositum,42.9,3
f105v,Theriac Diatessaron,15.4,1
f105v,Theodoricon Euporistum,81.8,9
f105v,Diasatyrion,42.1,4
f105v,Diarodon Abbatis,21.1,2
f105v,Rosata Novella,12.5,1
f105v,Letitia Galeni,22.2,2
f105v,Trifera Saracenica,70.0,7
f105v,Paulinum,70.0,7
f105v,Electuarium Justinum,76.2,8
f105v,Electuarium de Baccis Lauri,47.1,4
f105v,Syrupus de Fumaria,0,0
f105v,Confectio Anacardia,58.8,5
f105v,Electuarium Diacostum,47.1,4
f105v,Unguentum Marciaton,0,0
f105v,Suffuf al-Tib (Polvo aromatico de Avicena),23.5,2
f105v,Itrifal Ustukhudus (Electuario de Espliego),26.7,2
f105v,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),15.4,1
f105v,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),55.6,5
f105v,Unguentum Abulcasis (de vulneribus),18.2,1
f105v,Theriac Abulcasis (contra venenos),66.7,7
f105v,Antidotum Hadriani,52.6,5
f105v,Electuarium Ducis,26.7,2
f105v,Benedicta Laxativa,28.6,2
f105v,Diatragacanthi,0,0
f105v,Dianucum (Electuario de Nueces),40.0,3
f105v,Electuarium Diaspermaton,50.0,4
f105v,Philonium Romanum,58.8,5
f105v,Theriac Diatessaron Magna,26.7,2
f106r,Theriac Magna (Triaca de Andromachus),69.2,9
f106r,Mithridatium,83.3,10
f106r,Diascordium,40.0,4
f106r,Pillulae Cochiae,0,0
