Folio,Recipe,F1,Overlap,Folio_N,Recipe_N,Overlap_Ingredients
f89r,Pillulae Cochiae,12.5,1,10,6,Bdellium
f89r,Pillulae Aureae,11.8,1,10,7,Crocus
f89r,Unguentum Apostolorum,27.3,3,10,12,Bdellium|Myrrha|Opopanax
f89r,Electuarium de Succo Rosarum,0.0,0,10,8,
f89r,Aurea Alexandrina,37.5,6,10,22,Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f89r,Confectio Hamech,8.0,1,10,15,Mel despumatum
f89r,Hiera Picra (Hiera de Galeno),30.0,3,10,10,Casia|Crocus|Mel despumatum
f89r,Trifera Magna,47.4,9,10,28,Bdellium|Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Opopanax|Piper longum|Piper nigrum
f89r,Diamargariton (Electuario de Perlas),23.1,3,10,16,Cardamomum|Casia|Crocus
f89r,Diaciminum (Electuario de Comino),28.6,3,10,11,Mel despumatum|Piper longum|Piper nigrum
f89r,Unguentum Basilicon,0.0,0,10,7,
f89r,Unguentum Populeon,0.0,0,10,12,
f89r,Pillulae de Hiera cum Agarico,10.5,1,10,9,Crocus
f89r,Pillulae Fetidae (Pildoras Fetidas),33.3,3,10,8,Bdellium|Myrrha|Opopanax
f89r,Requies Magna (Requies Nicolai),7.4,1,10,17,Crocus
f89r,Diacodion (Jarabe de Adormidera),0.0,0,10,6,
f89r,Dialtea (Ungueento de Altea),0.0,0,10,10,
f89r,Philonium Persicum,57.1,8,10,18,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum|Styrax
f89r,Oximel Compositum,20.0,2,10,10,Mel despumatum|Piper longum
f89r,Theriac Diatessaron,26.7,2,10,5,Mel despumatum|Myrrha
f89r,Theodoricon Euporistum,51.9,7,10,17,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f89r,Diasatyrion,33.3,4,10,14,Cardamomum|Crocus|Mel despumatum|Piper longum
f89r,Diarodon Abbatis,23.1,3,10,16,Cardamomum|Casia|Crocus
f89r,Rosata Novella,11.8,1,10,7,Crocus
f89r,Letitia Galeni,16.7,2,10,14,Cardamomum|Crocus
f89r,Trifera Saracenica,58.3,7,10,14,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f89r,Paulinum,52.2,6,10,13,Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f89r,Electuarium Justinum,58.3,7,10,14,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f89r,Electuarium de Baccis Lauri,28.6,3,10,11,Mel despumatum|Myrrha|Piper longum
f89r,Syrupus de Fumaria,0.0,0,10,9,
f89r,Confectio Anacardia,40.0,4,10,10,Crocus|Mel despumatum|Piper longum|Piper nigrum
f89r,Electuarium Diacostum,38.1,4,10,11,Cardamomum|Casia|Mel despumatum|Piper longum
f89r,Unguentum Marciaton,0.0,0,10,10,
f89r,Suffuf al-Tib (Polvo aromatico de Avicena),31.6,3,10,9,Cardamomum|Casia|Crocus
f89r,Itrifal Ustukhudus (Electuario de Espliego),18.2,2,10,12,Crocus|Mel despumatum
f89r,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),26.7,2,10,5,Mel despumatum|Myrrha
f89r,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),54.5,6,10,12,Cardamomum|Casia|Crocus|Mel despumatum|Piper longum|Piper nigrum
f89r,Unguentum Abulcasis (de vulneribus),11.1,1,10,8,Myrrha
f89r,Theriac Abulcasis (contra venenos),50.0,6,10,14,Crocus|Mel despumatum|Myrrha|Opopanax|Piper longum|Piper nigrum
f89r,Antidotum Hadriani,45.5,5,10,12,Casia|Crocus|Mel despumatum|Myrrha|Piper longum
f89r,Electuarium Ducis,19.0,2,10,11,Mel despumatum|Piper longum
f89r,Benedicta Laxativa,9.1,1,10,12,Crocus
f89r,Diatragacanthi,0.0,0,10,6,
f89r,Dianucum (Electuario de Nueces),21.1,2,10,9,Mel despumatum|Piper nigrum
f89r,Electuarium Diaspermaton,20.0,2,10,10,Mel despumatum|Piper longum
f89r,Philonium Romanum,47.6,5,10,11,Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f89r,Theriac Diatessaron Magna,22.2,2,10,8,Mel despumatum|Myrrha
f89v,Theriac Magna (Triaca de Andromachus),33.3,7,8,34,Casia|Crocus|Galbanum|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f89v,Mithridatium,36.8,7,8,30,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f89v,Diascordium,28.6,3,8,13,Galbanum|Mel despumatum|Piper longum
f89v,Pillulae Cochiae,0.0,0,8,6,
f89v,Pillulae Aureae,13.3,1,8,7,Crocus
f89v,Unguentum Apostolorum,20.0,2,8,12,Galbanum|Myrrha
f89v,Electuarium de Succo Rosarum,0.0,0,8,8,
f89v,Aurea Alexandrina,40.0,6,8,22,Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f89v,Confectio Hamech,8.7,1,8,15,Mel despumatum
f89v,Hiera Picra (Hiera de Galeno),33.3,3,8,10,Casia|Crocus|Mel despumatum
f89v,Trifera Magna,38.9,7,8,28,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f89v,Diamargariton (Electuario de Perlas),25.0,3,8,16,Cardamomum|Casia|Crocus
f89v,Diaciminum (Electuario de Comino),31.6,3,8,11,Mel despumatum|Piper longum|Piper nigrum
f89v,Unguentum Basilicon,13.3,1,8,7,Galbanum
f89v,Unguentum Populeon,0.0,0,8,12,
f89v,Pillulae de Hiera cum Agarico,11.8,1,8,9,Crocus
f89v,Pillulae Fetidae (Pildoras Fetidas),25.0,2,8,8,Galbanum|Myrrha
f89v,Requies Magna (Requies Nicolai),8.0,1,8,17,Crocus
f89v,Diacodion (Jarabe de Adormidera),0.0,0,8,6,
f89v,Dialtea (Ungueento de Altea),0.0,0,8,10,
f89v,Philonium Persicum,53.8,7,8,18,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f89v,Oximel Compositum,22.2,2,8,10,Mel despumatum|Piper longum
f89v,Theriac Diatessaron,30.8,2,8,5,Mel despumatum|Myrrha
f89v,Theodoricon Euporistum,56.0,7,8,17,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f89v,Diasatyrion,36.4,4,8,14,Cardamomum|Crocus|Mel despumatum|Piper longum
f89v,Diarodon Abbatis,25.0,3,8,16,Cardamomum|Casia|Crocus
f89v,Rosata Novella,13.3,1,8,7,Crocus
f89v,Letitia Galeni,18.2,2,8,14,Cardamomum|Crocus
f89v,Trifera Saracenica,63.6,7,8,14,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f89v,Paulinum,57.1,6,8,13,Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f89v,Electuarium Justinum,63.6,7,8,14,Cardamomum|Casia|Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f89v,Electuarium de Baccis Lauri,31.6,3,8,11,Mel despumatum|Myrrha|Piper longum
f89v,Syrupus de Fumaria,0.0,0,8,9,
f89v,Confectio Anacardia,44.4,4,8,10,Crocus|Mel despumatum|Piper longum|Piper nigrum
f89v,Electuarium Diacostum,42.1,4,8,11,Cardamomum|Casia|Mel despumatum|Piper longum
f89v,Unguentum Marciaton,0.0,0,8,10,
f89v,Suffuf al-Tib (Polvo aromatico de Avicena),35.3,3,8,9,Cardamomum|Casia|Crocus
f89v,Itrifal Ustukhudus (Electuario de Espliego),20.0,2,8,12,Crocus|Mel despumatum
f89v,Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),30.8,2,8,5,Mel despumatum|Myrrha
f89v,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),60.0,6,8,12,Cardamomum|Casia|Crocus|Mel despumatum|Piper longum|Piper nigrum
f89v,Unguentum Abulcasis (de vulneribus),12.5,1,8,8,Myrrha
f89v,Theriac Abulcasis (contra venenos),54.5,6,8,14,Crocus|Galbanum|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f89v,Antidotum Hadriani,50.0,5,8,12,Casia|Crocus|Mel despumatum|Myrrha|Piper longum
f89v,Electuarium Ducis,21.1,2,8,11,Mel despumatum|Piper longum
f89v,Benedicta Laxativa,10.0,1,8,12,Crocus
f89v,Diatragacanthi,0.0,0,8,6,
f89v,Dianucum (Electuario de Nueces),23.5,2,8,9,Mel despumatum|Piper nigrum
f89v,Electuarium Diaspermaton,22.2,2,8,10,Mel despumatum|Piper longum
f89v,Philonium Romanum,52.6,5,8,11,Crocus|Mel despumatum|Myrrha|Piper longum|Piper nigrum
f89v,Theriac Diatessaron Magna,25.0,2,8,8,Mel despumatum|Myrrha
f90r,Theriac Magna (Triaca de Andromachus),15.8,3,4,34,Mel despumatum|Myrrha|Piper longum
f90r,Mithridatium,17.6,3,4,30,Mel despumatum|Myrrha|Piper longum
f90r,Diascordium,23.5,2,4,13,Mel despumatum|Piper longum
f90r,Pillulae Cochiae,20.0,1,4,6,Bdellium
f90r,Pillulae Aureae,0.0,0,4,7,
f90r,Unguentum Apostolorum,25.0,2,4,12,Bdellium|Myrrha
f90r,Electuarium de Succo Rosarum,0.0,0,4,8,
f90r,Aurea Alexandrina,23.1,3,4,22,Mel despumatum|Myrrha|Piper longum
f90r,Confectio Hamech,10.5,1,4,15,Mel despumatum
f90r,Hiera Picra (Hiera de Galeno),14.3,1,4,10,Mel despumatum
f90r,Trifera Magna,25.0,4,4,28,Bdellium|Mel despumatum|Myrrha|Piper longum
f90r,Diamargariton (Electuario de Perlas),0.0,0,4,16,
f90r,Diaciminum (Electuario de Comino),26.7,2,4,11,Mel despumatum|Piper longum
f90r,Unguentum Basilicon,0.0,0,4,7,
f90r,Unguentum Populeon,0.0,0,4,12,
f90r,Pillulae de Hiera cum Agarico,0.0,0,4,9,
f90r,Pillulae Fetidae (Pildoras Fetidas),33.3,2,4,8,Bdellium|Myrrha
f90r,Requies Magna (Requies Nicolai),0.0,0,4,17,
f90r,Diacodion (Jarabe de Adormidera),0.0,0,4,6,
f90r,Dialtea (Ungueento de Altea),0.0,0,4,10,
f90r,Philonium Persicum,27.3,3,4,18,Mel despumatum|Myrrha|Piper longum
f90r,Oximel Compositum,28.6,2,4,10,Mel despumatum|Piper longum
f90r,Theriac Diatessaron,44.4,2,4,5,Mel despumatum|Myrrha
f90r,Theodoricon Euporistum,28.6,3,4,17,Mel despumatum|Myrrha|Piper longum
f90r,Diasatyrion,22.2,2,4,14,Mel despumatum|Piper longum
f90r,Diarodon Abbatis,0.0,0,4,16,
f90r,Rosata Novella,0.0,0,4,7,
f90r,Letitia Galeni,0.0,0,4,14,
f90r,Trifera Saracenica,33.3,3,4,14,Mel despumatum|Myrrha|Piper longum
f90r,Paulinum,35.3,3,4,13,Mel despumatum|Myrrha|Piper longum
f90r,Electuarium Justinum,33.3,3,4,14,Mel despumatum|Myrrha|Piper longum
f90r,Electuarium de Baccis Lauri,40.0,3,4,11,Mel despumatum|Myrrha|Piper longum
